"PROFILE_ID","PROFILE_NAME","PROFILE_EMAIL","PROFILE_GENDER","PROFILE_AGE_GROUP","PROFILE_INTERESTED_COLOR","ORDER_ID","ORDER_TOTAL","ORDER_ITEM_ID","ORDER_ITEM_QUANTITY","PRODUCT_CATEGORY","PRODUCT_SUBCATEGORY","PRODUCT_NAME","PRODUCT_SUMMARY","PRODUCT_PRICE","DISCOUNTED_PRODUCT_PRICE","PRODUCT_TARGETED_GENDER","PRODUCT_TARGETED_AGE","PRODUCT_COLOR"
"2","asd1","asd1@asd.com","0","4","Red","1","11850.0","371","3","Mens Clothing","Shirt","Favian Mann Shirt","Favian Mann Casual Shirt","150.0","100.0","0","4","White"
"2","asd1","asd1@asd.com","0","4","Red","1","11850.0","345","1","Mens Clothing","Shirt","Leslie Keeling Shirt","Leslie Keeling Casual Shirt","350.0","300.0","0","4","Red"
"2","asd1","asd1@asd.com","0","4","Red","1","11850.0","361","2","Mens Clothing","Shirt","Lamar Raynor Shirt","Lamar Raynor Casual Shirt","200.0","150.0","0","4","blue"
"2","asd1","asd1@asd.com","0","4","Red","1","11850.0","352","3","Mens Clothing","Shirt"," Alfreda Fay Shirt"," Alfreda Fay formal Shirt","650.0","600.0","0","4","blue"
"2","asd1","asd1@asd.com","0","4","Red","1","11850.0","372","8","Mens Clothing","Shirt","Jameson Morar Shirt","Jameson Morar Casual Shirt","200.0","150.0","0","4","White"
"2","asd1","asd1@asd.com","0","4","Red","1","11850.0","358","2","Mens Clothing","Shirt","Lavina Ortiz Shirt","Lavina Ortiz Casual Shirt","950.0","900.0","0","4","blue"
"2","asd1","asd1@asd.com","0","4","Red","1","11850.0","371","3","Mens Clothing","Shirt","Favian Mann Shirt","Favian Mann Casual Shirt","150.0","100.0","0","4","White"
"2","asd1","asd1@asd.com","0","4","Red","1","11850.0","341","9","Mens Clothing","Shirt","Jaqueline Ward Shirt","Jaqueline Ward formal Shirt","150.0","100.0","0","4","Red"
"2","asd1","asd1@asd.com","0","4","Red","1","11850.0","354","1","Mens Clothing","Shirt","Leone Boyer Shirt","Leone Boyer Casual Shirt","750.0","700.0","0","4","blue"
"2","asd1","asd1@asd.com","0","4","Red","1","11850.0","368","5","Mens Clothing","Shirt"," Malachi Emard Shirt"," Malachi Emard formal Shirt","900.0","850.0","0","4","White"
"2","asd1","asd1@asd.com","0","4","Red","2","20250.0","343","8","Mens Clothing","Shirt","Herminio Hane  Shirt","Herminio Hane  Casual Shirt","250.0","200.0","0","4","Red"
"2","asd1","asd1@asd.com","0","4","Red","2","20250.0","342","9","Mens Clothing","Shirt","Theo Jerde Shirt","Theo Jerde Casual Shirt","200.0","150.0","0","4","Red"
"2","asd1","asd1@asd.com","0","4","Red","2","20250.0","359","2","Mens Clothing","Shirt","Scot Bauch Shirt","Scot Bauch Casual Shirt","100.0","50.0","0","4","blue"
"2","asd1","asd1@asd.com","0","4","Red","2","20250.0","355","6","Mens Clothing","Shirt"," Santino Bernhard Shirt"," Santino Bernhard Casual Shirt","800.0","750.0","0","4","blue"
"2","asd1","asd1@asd.com","0","4","Red","2","20250.0","372","3","Mens Clothing","Shirt","Jameson Morar Shirt","Jameson Morar Casual Shirt","200.0","150.0","0","4","White"
"2","asd1","asd1@asd.com","0","4","Red","2","20250.0","347","6","Mens Clothing","Shirt","Kolby Mohr Shirt","Kolby Mohr Casual Shirt","450.0","400.0","0","4","Red"
"2","asd1","asd1@asd.com","0","4","Red","2","20250.0","341","3","Mens Clothing","Shirt","Jaqueline Ward Shirt","Jaqueline Ward formal Shirt","150.0","100.0","0","4","Red"
